4,b'Heartily Welcome to the Pride of Nation #MissWorld2017 @ManushiChhillar  \xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 https://t.co/6SXc58b58g'
4,b'@feminamissindia @ManushiChhillar @MissWorldLtd @MissWorldIndia @News18Haryana @TrendsMumbai Welcome Back To Our Lo\xe2\x80\xa6 https://t.co/BQTX9BQFZG'
2,"b""RT @Showbiz_IT: Miss World @ManushiChhillar dancing to @deepikapadukone's song is the best thing you'll see today | https://t.co/WACXOpXAXO\xe2\x80\xa6"""
4,"b'""The land where Science meets spirituality"", That\'s the intro of our country is expected from Miss World.\nVery prou\xe2\x80\xa6 https://t.co/PsiNha2w9W'"
4,b'RT @feminamissindia: Million dollar picture! Reigning Mr World #RohitKhandelwal and Miss World 2017 @ManushiChhillar clicked together.. We\xe2\x80\xa6'
4,b'RT @viralbollywood: #MissWorld2017 #ManushiChhillar Grand Welcome At Mumbai International Airport  #Manushi In Mumbai @ManushiChhillar\n\nVid\xe2\x80\xa6'
2,b'RT @NmamiAgarwal: Congratulations @ManushiChhillar #MissWorld2017 https://t.co/VfS81xr1bC'
4,b'RT @viralbollywood: #MissWorld2017 #ManushiChhillar Grand Welcome At Mumbai International Airport  #Manushi In Mumbai @ManushiChhillar\n\nVid\xe2\x80\xa6'
2,b'RT @kabeerputra2: @narendramodi @ManushiChhillar 56 \xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\x9a \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa5\x80\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xb6\xe0\xa5\x87\xe0\xa4\xb7\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x8a\xe0\xa4\x82 \n\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xb9 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x87\xe0\xa4\xb8 \xe0\xa4\xb2\xe0\xa4\x97\xe0\xa4\xbe \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x97\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\x8f \xe0\xa4\xad\xe0\xa5\x80 \n\xe0\xa4\xaa\xe0\xa5\x81\xe2\x80\xa6'
4,b'RT @feminamissindia: I am going to make sure that the world remembers India: @ManushiChhillar https://t.co/aMxhJJXNg8 You made it possible!\xe2\x80\xa6'
